"0,0","0,1","0,2","0,3","0,4","0,5","0,6","1,0","1,1","1,2","1,3","1,4","1,5","1,6","2,0","2,1","2,2","2,3","2,4","2,5","2,6","3,0","3,1","3,2","3,3","3,4","3,5","3,6","4,0","4,1","4,2","4,3","4,4","4,5","4,6","5,0","5,1","5,2","5,3","5,4","5,5","5,6",move
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,O,.,.,.,.,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,O,.,O,.,.,.,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,O,.,O,.,.,X,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,X,O,.,O,.,.,X,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,O,X,O,.,O,.,.,X,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,X,.,.,O,X,O,.,O,.,.,X,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,X,.,X,.,.,O,X,O,.,O,.,.,X,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,O,.,X,.,X,.,.,O,X,O,.,O,.,.,X,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,O,.,X,.,X,.,.,O,X,O,.,O,.,.,X,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,O,.,X,.,X,.,.,O,X,O,.,O,O,.,X,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,O,X,X,.,X,.,.,O,X,O,.,O,O,.,X,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,O,.,O,.,.,.,.,O,X,X,.,X,.,.,O,X,O,.,O,O,.,X,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,O,.,O,.,.,.,.,O,X,X,.,X,.,.,O,X,O,.,O,O,X,X,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,O,.,O,.,.,.,.,O,X,X,.,X,O,.,O,X,O,.,O,O,X,X,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,O,.,O,.,.,.,.,O,X,X,.,X,O,.,O,X,O,X,O,O,X,X,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,O,.,O,.,.,O,.,O,X,X,.,X,O,.,O,X,O,X,O,O,X,X,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,X,.,.,.,.,O,.,O,.,.,O,.,O,X,X,.,X,O,.,O,X,O,X,O,O,X,X,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,X,.,.,.,.,O,.,O,.,.,O,.,O,X,X,.,X,O,O,O,X,O,X,O,O,X,X,"('R', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,X,.,.,.,.,O,.,O,.,.,O,.,O,X,X,.,X,O,.,O,X,O,X,O,O,O,X,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,X,.,.,.,.,O,O,O,.,.,O,.,O,X,X,.,X,O,.,O,X,O,X,O,O,O,X,"('R', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,X,.,.,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,X,.,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,X,X,.,O,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,O,.,X,X,.,O,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,O,.,X,X,X,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,O,.,.,.,O,.,X,X,X,O,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,O,.,.,.,O,.,X,X,X,O,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,.,.,.,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,O,X,.,.,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,X,.,O,X,.,.,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 7)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,X,.,O,X,.,X,.,X,.,O,O,.,O,.,O,.,X,X,X,O,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,X,.,O,X,.,X,.,X,.,O,O,.,O,.,O,O,X,X,X,O,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,X,.,O,X,.,X,.,X,.,O,O,.,O,.,O,O,X,X,X,O,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,O,.,.,.,X,.,O,X,.,X,.,X,.,O,O,.,O,.,O,O,X,X,X,O,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,O,.,.,.,X,.,O,X,.,X,.,X,.,O,O,X,O,.,O,O,X,X,X,O,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,O,.,.,.,X,.,O,X,O,X,.,X,.,O,O,X,O,.,O,O,X,X,X,O,"('R', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,O,O,.,.,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,X,.,.,O,O,.,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,X,.,.,O,O,O,.,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,X,.,X,O,O,O,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,.,.,X,O,.,X,.,X,O,O,O,.,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,X,.,O,.,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,X,.,O,.,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,X,.,O,X,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,O,.,X,.,.,.,.,X,.,O,X,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,O,.,X,X,.,.,.,X,.,O,X,.,O,.,X,.,X,O,.,X,.,X,O,O,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,O,.,X,X,.,.,.,X,.,O,X,.,O,.,X,O,X,O,.,X,.,X,O,O,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,O,.,X,X,.,.,.,X,X,O,X,.,O,.,X,O,X,O,.,X,.,X,O,O,O,.,"('R', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,O,.,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,X,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,O,.,.,X,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,O,.,O,X,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,X,.,.,.,O,.,O,X,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,.,X,.,.,.,O,.,O,X,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,X,X,.,.,.,O,.,O,X,O,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,.,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,.,X,.,.,.,X,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 4)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,.,.,O,X,.,.,.,X,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 6)"
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,O,.,.,.,X,.,O,X,O,.,.,X,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 5)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,X,.,O,X,O,.,.,X,.,X,X,O,.,.,O,.,O,X,O,.,"('I', 1)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,X,.,O,X,O,.,.,X,.,X,X,O,.,O,O,.,O,X,O,.,"('I', 3)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,X,.,O,X,O,.,.,X,.,X,X,O,.,O,O,X,O,X,O,.,"('R', 6)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,.,.,.,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,O,.,O,O,X,O,X,O,.,"('I', 2)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,.,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,O,.,O,O,X,O,X,O,.,"('R', 6)"
.,.,.,.,.,.,.,.,.,.,.,X,.,.,.,X,.,.,O,.,.,.,X,.,O,X,.,.,.,X,.,X,X,.,.,O,O,X,O,X,O,.,"('I', 6)"
